Session,hyena_count,lion_count,note_quality,food_present,session_error_notes,notes.x,clan.x,date,start,stop,hyenas,unidhyenas,notes.y,tracked,seen,pickup,DropFromAnalyis,Why?
s0.21,4,2,2,,end time should be 17:55,lions and hyenas so in this session with no distances because the observers were a couple hundred meters away - could not approach closer due to rocky terrain,happy.zebra,26-Jun-08,17:50,17:55,,4;,lions and hyenas so in this session with no distances as observers were far away,FALSE,TRUE,FALSE,YES,all unIDs
s7393,1,1,2,,,incomplete CIs due to tall grasses; lioness st/lk 250m - OJY? At start of session; they never app each other and OJY? Lv lope - S 7 minutes after start of session,happy.zebra,15-May-11,7:15,7:26,,1; ojy?,,FALSE,TRUE,FALSE,YES,all unIDs
s16668,1,2,1,,,100m from hippo carcass (from earlier sessions); probably more lions there but couldn't see due to darkness; unid wan 100m - lions,happy.zebra,28-May-15,20:11,20:12,,1;,"this is about 100 m from the hippo carcass, probably more lions here too dark to see",FALSE,TRUE,FALSE,YES,all unIDs
s18925,,,,,,session should not be included in analysis; unid hyenas - not sure if they are 17km clan hyenas or HZ hyenas,happy.zebra,3-Feb-16,18:12,18:19,,3;,k= buffalo,FALSE,TRUE,FALSE,YES,all unIDs
s1648,4,2,2,,,male hippo carcass; lions fd on carcass at start of session and hyenas stay 200m away from carcass - they do not try to interact with lion but realize the carcass is there,serena.n,16-Nov-08,17:41,18:10,,4; 1 is wp?,"k= male hippo killed by lions, 1 has full dark mane, 2nd has r c scoop and scar on l cheek",FALSE,TRUE,FALSE,YES,all unIDs
s2271,2,1,2,,,observers spooked hyenas upon arrival so they ran off and were not IDed; lioness and hyenas seemed to be staring at each other before the hyenas were spooked and ran off,serena.n,26-Aug-09,5:53,5:54,,2;,"lioness and hyena's in staring contest, hyenas spooked and oos",FALSE,TRUE,FALSE,YES,all unIDs
s2864,1,5,3,,,observers assume the lions have been feeding on a hippo E of camp but they do not go near it during this session; AWP? Goes in and out of thickets not visibly interacting with the lions so at a nearby thicket - lions do not seem to notice her,serena.n,3-Jun-10,6:08,6:09,,1; awp?,,FALSE,TRUE,FALSE,YES,all unIDs
s6395,2,2,3,,,hyenas st/lk 600m - lions; 1 lion so 80m from the 2nd lion; they never try to app each other,serena.n,26-May-11,18:53,18:54,,2;,,FALSE,TRUE,FALSE,YES,all unIDs
s18014,1,1,1,,,"leopard kills baby zebra which lion steals; unid hyena loped past in darkness, saw leopard, and ran",serena.n,16-Nov-15,19:33,19:38,,1;,"k= baby zebra, leopard kills baby zebra in front of the car, lioness steals it from the leopard",FALSE,TRUE,FALSE,YES,all unIDs
s3460,1,5,3,,end time should be 17:56,"BBW so 40m - lions, they never try to app each other",serena.s,10-Feb-09,17:51,17:56,,1; bbw?,bbw? 40m s of lions,FALSE,TRUE,FALSE,YES,all unIDs
