SESSION,hyena_count,lion_count,note_quality,food_present,session_error_notes,notes,entry_complete,who_checked,date_checked,entered_by,entry_date,who_starts_with_food,who_ends_with_food,do_hyenas_eat,no_intx_yes_no
s0.12,6,1,1,TRUE,,topi carcass; HWK or KITE seen with foreleg of subadult zebra (probably fed on this but not the topi carcass),TRUE,,,KJV,12-May-14,lions,lions,no,FALSE
s0.16,2,1,3,FALSE,end time should be 16:52,lion is so 45m - AO and they do not try to approach each other,TRUE,,,KJV,12-May-14,,,,TRUE
s0.21,4,2,2,FALSE,end time should be 17:55,lions and hyenas so in this session with no distances because the observers were a couple hundred meters away - could not approach closer due to rocky terrain,TRUE,,,KJV,12-May-14,,,,TRUE
s10132,5,1,2,FALSE,"N ID hyenas should be 4, not 0",1 lioness (first seen) 120m from WAFL; ID photos taken of lions; incomplete CI's for hyenas due to tall grass,TRUE,TMM,05-Oct-17,JGJ,03-Oct-17,,,,TRUE
s10133.1,13,3,2,FALSE,"missing rmon; N ID Hyenas is 11, not 0; missing unk age/sex lion; missing 2 unid hyenas",18:11 lions 150 m away hyenas but oos; incomplete CI's throughout due to large number of hyenas and darkness plus distance after 18:43; 18:34 most hyenas 100m from lions; 18:40 all hyenas pass w/in 35m lions; hyenas not appeear see lions; lions see hyenas,TRUE,TMM,05-Oct-17,JGJ,03-Oct-17,,,,TRUE
s10407,10,4,2,FALSE,N ID Hyenas=10,"sau, koal, spcd run 6:54 - 200m away from lions and seemed to be avoiding them and heading to the den area; wafl and trot 120m-lions 7:05",TRUE,,,JGJ,03-Oct-17,,,,TRUE
s10894,32,3,2,TRUE,"age class not specified for jackals in notes; missing IDs - toro,lpr,spec,koal; 1 unid","ema, ink, sau fat. Trot bloody. Zebra carcass (fresh, back half eaten start). No hyenas <20m from carcass & lions at start. Incomplete CI's. Some hyenas bloody - maybe few feeding or killed before lions. 1 lion bloody face; video; lpr bloody (mid session)",TRUE,,,JGJ,04-Oct-17,lions,lions,no,FALSE
s11114,4,3,3,FALSE,it is not stated that the lions are adults - should be unknown age class,"observer notices lions at 6:39; 3 lions 60m from observer; pictures of lions; ink doesn't seem pay attention lions; all 3 lions oriented towards ink,slim,dalt",TRUE,,,JGJ,05-Oct-17,,,,TRUE
s11187.1,1,1,3,FALSE,,hucn lope 65m-lion. Hucn lope in front lion and looking back but lion didn't seem notice/care about hucn.,TRUE,,,JGJ,05-Oct-17,,,,TRUE
s11279,14,9,3,TRUE,end 7:45; unknown age jackals; 1 unid; 1 of the lions is an adult female; context is k,"incomplete CI's; wildebeest carcass - start fresh but mostly eaten, possibly 2 pieces, ribcage pres, most skin/meat gone, head not touched, no intestines; 1 lioness-1 ear; ID pictures lions; end carcass - tiny bit flesh, some ribs, spine, head, pelvis",TRUE,TMM,25-Feb-19,JGJ,05-Oct-17,both,lions,feed,FALSE
